name,Genotype Number,Environment Number,Location Number,Years,Name
2014_1_1,84,6,6,2014,Maize1
2014_1_2,48,6,6,2014,Maize2
2014_2_1,32,7,7,2014,Maize3
2014_2_2,8,12,12,2014,Maize4
2014_2_3,12,8,8,2014,Maize5
2015_1_1,21,27,27,2015,Maize6
2015_2_1,7,7,7,2015,Maize7
2016_1_1,21,16,16,2016,Maize8
2016_1_2,24,13,13,2016,Maize9
2016_1_3,22,14,14,2016,Maize10
2016_1_4,17,17,17,2016,Maize11
2016_1_5,7,15,15,2016,Maize12
2016_2_1,47,10,10,2016,Maize13
2016_3_1,51,8,8,2016,Maize14
2016_1_2_2017_1,19,28,17,"2016, 2017",Maize15
2016_1_3_2017_1,17,29,17,"2016, 2017",Maize16
2016_1_4_2017_1,7,33,17,"2016, 2017",Maize17
2016_2_1_2017_1,32,21,11,"2016, 2017",Maize18
2016_3_1_2017_1,44,18,11,"2016, 2017",Maize19
2016_2_1_2017_1_2018_1,24,23,11,"2016, 2017, 2018",Maize20
2017_1_1,59,15,15,2017,Maize21
2017_1_2,29,16,16,2017,Maize22
2017_1_3,7,27,27,2017,Maize23
2017_2_1,61,12,12,2017,Maize24
2017_2_2,63,11,11,2017,Maize25
2017_2_3,9,10,10,2017,Maize26
2017_3_1,65,10,10,2017,Maize27
2017_2_1_2018_1,50,17,12,"2017, 2018",Maize28
2017_2_1_2018_2,7,16,12,"2017, 2018",Maize29
2017_2_2_2018_1,40,13,11,"2017, 2018",Maize30
2017_2_3_2018_1,6,12,11,"2017, 2018",Maize31
2018_1_1,57,6,6,2018,Maize32
2018_1_2,68,5,5,2018,Maize33
2020_1_1,9,23,23,2020,Maize34
2020_1_2,11,7,7,2020,Maize35
2020_1_1_2021_1,8,48,27,"2020, 2021",Maize36
2021_1_1,8,8,8,2021,Maize37
2021_2_1,7,7,7,2021,Maize38
2021_4_1,7,7,7,2021,Maize39
2021_5_1,16,25,25,2021,Maize40
2022_1_1,30,14,14,2022,Maize41
2022_1_2,25,8,8,2022,Maize42
2022_1_3,7,26,26,2022,Maize43